heading,speed,lat,lon,alt
73.25451402,0.07699964148,-117.3205261,34.197148,637.68
51.25830936,0.1063510673,-117.3205253,34.1971482,637.65
219.7230662,0.05768815164,-117.3205244,34.1971488,637.63
39.72306675,0.02884407552,-117.3205248,34.1971484,637.62
121.0378393,0.02151379545,-117.3205246,34.1971486,637.61
151.0165791,0.114126623,-117.3205244,34.1971485,637.59
19.44970133,0.4705567092,-117.3205238,34.1971476,637.59
311.1952383,0.1347360647,-117.3205221,34.1971516,637.56
169.1455502,0.1468307889,-117.3205232,34.1971524,637.55
183.2796444,0.322213119,-117.3205229,34.1971511,637.55
47.20696599,0.1632820461,-117.3205231,34.1971482,637.54
234.1665057,0.1705295383,-117.3205218,34.1971492,637.52
121.0378393,0.02151379545,-117.3205233,34.1971483,637.53
111.8593353,0.02979245508,-117.3205231,34.1971482,637.53
61.52071667,0.02097135229,-117.3205228,34.1971481,637.52
61.52071667,0.02097135229,-117.3205226,34.1971481,637.52
49.3157714,0.08508034483,-117.3205224,34.1971481,637.52
297.2844187,0.07259430226,-117.3205217,34.1971486,637.53
243.722067,0.4008837226,-117.3205224,34.1971489,637.5
195.4808917,0.17265293,-117.3205263,34.1971473,637.43
167.2991418,0.04548332048,-117.3205268,34.1971458,637.35
310.6842288,0.1701606902,-117.3205268,34.1971454,637.35
297.6216867,0.2392546999,-117.3205282,34.1971464,637.37
32.30122515,0.6036786214,-117.3205305,34.1971474,637.37
225.0382633,0.6122138953,-117.320527,34.197152,637.38
46.89122234,0.340868452,-117.3205317,34.1971481,637.35
162.2773945,0.1513884771,-117.320529,34.1971502,637.38
62.71558134,0.145188603,-117.3205285,34.1971489,637.41
121.0378389,0.1075689768,-117.3205271,34.1971495,637.42
78.65775386,0.1128046852,-117.3205261,34.197149,637.43
83.12600467,0.08355178883,-117.3205249,34.1971492,637.44
73.2545143,0.07699964273,-117.320524,34.1971492,637.45
51.25830908,0.07090071071,-117.3205232,34.1971494,637.45
78.6577536,0.0564023433,-117.3205226,34.1971498,637.46
68.14066475,0.05958491015,-117.320522,34.1971499,637.46
54.16650561,0.05684317894,-117.3205214,34.1971501,637.46
70.11705006,0.02940314055,-117.3205209,34.1971504,637.47
31.9300129,0.05228075214,-117.3205206,34.1971504,637.47
58.96216251,0.02151379504,-117.3205203,34.1971508,637.47
85.86290464,0.1386131863,-117.3205201,34.1971509,637.47
128.7416906,0.2127021347,-117.3205186,34.1971509,637.54
128.7416909,0.07090071071,-117.3205168,34.1971497,637.67
84.71072299,0.2406615447,-117.3205162,34.1971493,637.67
115.7065297,0.2557302362,-117.3205136,34.1971495,637.66
124.517296,0.1566046372,-117.3205111,34.1971485,637.64
102.7163681,0.1511769132,-117.3205097,34.1971477,637.63
143.2106157,0.1385116567,-117.3205081,34.1971474,637.66
171.1449,0.1796225574,-117.3205072,34.1971464,637.65
187.284624,0.1453772106,-117.3205069,34.1971448,637.65
202.5603507,0.09609432916,-117.3205071,34.1971435,637.64
168.2651703,0.045317566,-117.3205075,34.1971427,637.65
138.0084313,0.1790950597,-117.3205074,34.1971423,637.65
98.55541713,0.2236923505,-117.3205061,34.1971411,637.66
126.3338955,0.205942092,-117.3205037,34.1971408,637.66
54.16650561,0.05684317894,-117.3205019,34.1971397,637.66
132.7930343,0.1632820451,-117.3205014,34.19714,637.65
118.1422207,0.1881449871,-117.3205001,34.197139,637.66
114.2906026,0.1617921339,-117.3204983,34.1971382,637.66
125.8334936,0.05684318,-117.3204967,34.1971376,637.66
95.97447757,0.2131441216,-117.3204962,34.1971373,637.65
185.9295953,0.0892181541,-117.3204939,34.1971371,637.65
82.77987308,0.1765188867,-117.320494,34.1971363,637.65
94.58727969,0.1386962912,-117.3204921,34.1971365,637.65
97.61665755,0.1673791778,-117.3204906,34.1971364,637.65
194.3410737,0.4465258532,-117.3204888,34.1971362,637.7
178.4811719,0.3772809502,-117.32049,34.1971323,637.71
188.0499049,0.5265404816,-117.32049,34.1971289,637.71
214.9805643,0.7716859104,-117.3204908,34.1971242,637.71
235.1865264,0.505174706,-117.3204956,34.1971185,637.71
290.1906008,0.3535292972,-117.3205001,34.1971159,637.69
281.7227071,0.2729809363,-117.3205037,34.197117,637.69
338.6440043,0.2024771365,-117.3205066,34.1971175,637.7
348.2651712,0.09063513174,-117.3205074,34.1971192,637.69
219.723066,0.1297983409,-117.3205076,34.19712,637.69
8.590828546,0.1234031455,-117.3205085,34.1971191,637.68
174.4169321,0.189473023,-117.3205083,34.1971202,637.69
163.7848457,0.6931287582,-117.3205081,34.1971185,637.71
197.8111676,0.8738277466,-117.320506,34.1971125,637.76
191.5345191,2.581242508,-117.3205089,34.197105,637.82
219.0955294,9.061652038,-117.3205145,34.1970822,637.85
223.607278,8.058050632,-117.3205765,34.1970188,637.96
221.3784471,4.907969866,-117.3206368,34.1969662,638.13
206.0860591,4.35980067,-117.320672,34.196933,638.36
209.3259487,4.045944519,-117.3206928,34.1968977,638.52
222.9650945,3.259100668,-117.3207143,34.1968659,638.69
123.9450786,5.621807379,-117.3207384,34.1968444,638.86
107.1717664,0.713864449,-117.3206878,34.1968161,638.94
122.2935379,1.951690617,-117.3206804,34.1968142,639.11
105.8632606,3.44941274,-117.3206625,34.1968048,639.18
110.362582,4.335539107,-117.3206265,34.1967963,639.09
123.1005904,4.224896621,-117.3205824,34.1967827,639.02
122.4975179,5.223563556,-117.320544,34.1967619,638.98
130.3899366,4.913031354,-117.3204962,34.1967366,638.88
127.4578244,4.505055214,-117.3204556,34.1967079,638.71
131.634874,5.142410037,-117.3204168,34.1966832,638.66
137.6280728,5.675533745,-117.3203751,34.1966524,638.53
142.7788604,6.171015796,-117.3203336,34.1966146,638.41
162.6936917,6.878209123,-117.3202931,34.1965703,638.28
151.0975956,5.701870824,-117.3202709,34.1965111,638.41
135.600051,5.216589043,-117.320241,34.1964661,638.76
133.3607038,4.297522204,-117.3202014,34.1964325,638.99
137.0491813,3.273499727,-117.3201675,34.1964059,639.32
147.8468972,3.013477989,-117.3201433,34.1963843,638.95
