sec,mb
17.048,93680.77
17.068,93683.15
17.088,93681.24
17.108,93681.62
17.128,93680.53
17.148,93679.89
17.168,93680.29
17.188,93680.57
17.208,93678.57
17.228,93678.59
17.248,93681.55
17.268,93681.42
17.288,93678.52
17.308,93683.27
17.328,93683.26
17.348,93682.24
17.368,93681.29
17.388,93681.99
17.408,93678.99
17.428,93680.73
17.448,93682.57
17.468,93680.12
17.488,93681.21
17.508,93681.7
17.528,93681.88
17.548,93678.53
17.568,93680.51
17.588,93679.28
17.608,93680.32
17.628,93679.5
17.648,93680.18
17.668,93680.33
17.688,93679.6
17.708,93680.97
17.728,93679.51
17.748,93677.91
17.768,93680.34
17.788,93678.03
17.808,93680.61
17.828,93679.24
17.848,93679.76
17.868,93678.71
17.888,93678.26
17.908,93678.89
17.928,93679.14
17.948,93680.24
17.968,93678.51
17.988,93680.62
18.008,93681.33
18.028,93678.09
18.048,93681.26
18.068,93679.68
18.088,93680.14
18.108,93681.56
18.128,93678.84
18.148,93678.81
18.168,93680.79
18.188,93680.28
18.208,93680.47
18.228,93682.15
18.248,93679.82
18.268,93680.8
18.288,93679.44
18.308,93681.98
18.328,93679.16
18.348,93681.48
18.368,93678.84
18.388,93679.23
18.408,93680.43
